                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.5957,                 1.6086,                 1.6133,                0.57608,                0.43726,                 0.4673,                0.26403,                 1.5558,                 1.4318,                 1.5123,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.6014,                 1.5602,                 1.5961,                0.58823,                0.44773,                0.48659,                0.27286,                 1.5334,                 1.4208,                 1.4885,               0.000812,               0.000812,               0.000812
                    122,                 1.5796,                 1.5751,                 1.5841,                0.57538,                0.45642,                0.48823,                0.27502,                 1.5245,                  1.435,                 1.4871,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.5846,                 1.5238,                 1.5639,                0.60885,                0.44447,                0.49255,                0.26921,                 1.5618,                 1.3994,                 1.4949,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.6104,                 1.5699,                 1.5909,                0.60948,                0.45559,                0.50042,                0.28501,                 1.5221,                 1.3707,                 1.4829,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.5561,                 1.5136,                 1.5681,                0.57942,                0.46329,                0.49049,                0.28027,                 1.5383,                  1.366,                 1.4909,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.5899,                 1.4909,                 1.5472,                0.60299,                0.45539,                  0.499,                0.27493,                 1.5258,                 1.3914,                 1.4771,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.5792,                  1.536,                 1.5724,                0.60079,                0.47002,                 0.5096,                0.29274,                  1.506,                 1.3343,                 1.4733,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.5541,                 1.5314,                  1.585,                0.60437,                0.45517,                0.50129,                0.28751,                 1.5058,                 1.3503,                  1.478,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.5607,                 1.5267,                 1.5728,                 0.6023,                 0.4797,                0.51353,                0.29004,                 1.5195,                 1.3982,                 1.4823,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.5833,                  1.565,                 1.5842,                0.61349,                0.47022,                0.51126,                0.28915,                  1.515,                  1.344,                 1.4765,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.5967,                  1.519,                 1.5827,                 0.5957,                0.48218,                0.51544,                0.29376,                 1.5048,                 1.3342,                 1.4692,               0.000713,               0.000713,               0.000713
                    132,                 1.5697,                 1.4639,                 1.5392,                0.62551,                0.47049,                0.51999,                0.29452,                 1.5052,                 1.3249,                 1.4672,              0.0007031,              0.0007031,              0.0007031
